participant_id,trial_id,language,session_type,sentence_type,first_aoi_fix_index,current_fix_interest_area_label,first_aoi_fix_start,first_aoi_fix_x,first_aoi_fix_y,first_aoi_role,agent_first_look,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf01,19,Punjabi,sentence_audio,active,2,s_woman_woman_read_letter,5946,972.6,435.3,agent,1,exp_images/audio\PUNJABI\letter.wav,IMG_17_P_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter.jpg,STIM_17,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,20,Punjabi,sentence_audio,active,2,o_bucket_boy_filled_bucket,6288,925.0,587.6,object,0,exp_images/audio\PUNJABI\bucket.wav,IMG_09_P_ACT,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/Bucket.jpg,STIM_09,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,21,Punjabi,sentence_audio,active,2,o_clothes_woman_folded_clothes,6162,991.4,608.8,object,0,exp_images/audio\PUNJABI\clothes.wav,IMG_06_P_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes.jpg,STIM_06,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,22,Punjabi,sentence_audio,passive,2,o_door_boy_opened_door,5782,1005.8,492.3,object,0,exp_images/audio\PUNJABI\p_door.wav,IMG_10_P_PWA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/Closed-door-passive.jpg,STIM_28,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,23,Punjabi,sentence_audio,passive,2,o_lamp_girl_light_lamp,6458,764.3,570.1,object,0,exp_images/audio\PUNJABI\p_lamp.wav,IMG_01_P_PWA,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/Lamp-passive.jpg,STIM_19,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,24,Punjabi,sentence_audio,passive,2,o_scooter_driver_wash_scooter,5888,977.2,390.4,object,0,exp_images/audio\PUNJABI\p_scooter.wav,IMG_14_P_PWA,exp_images/images/driver_wash_scooter.jpg,IMG_14,exp_images/sentences/Washed-scooter-passive.jpg,STIM_32,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,2,o_box_man_pushed_box,6164,1106.4,465.5,object,0,exp_images/audio\PUNJABI\p_woa_box.wav,IMG_05_P_PNA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/Pushed-box-woa.jpg,STIM_41,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,2,o_tree_girl_plant_tree,5714,779.7,724.1,object,0,exp_images/audio\PUNJABI\p_woa_sapling.wav,IMG_03_P_PNA,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/Sapling-woa.jpg,STIM_39,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,2,o_shrub_man_cut_shrub,6364,853.3,545.7,object,0,exp_images/audio\PUNJABI\p_woa_shrub.wav,IMG_04_P_PNA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/Shrub-woa.jpg,STIM_40,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,28,English,sentence_audio,active,2,s_dog_dog_dug_hole,6316,858.5,595.3,agent,1,exp_images/audio\ENGLISH\dug.wav,IMG_13_E_ACT,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/active_dog_hole.jpg,STIM_67,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
