participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf01,IMG_01,6020.0,4282.0,356.83333333333326,12.0,851.5999999999998,566.4499999999998,4582.0,4582,6,1030.0,1.0,6020.0,3.376666666666667,12.0,91.265,34.0,1.9933554817275752
edf01,IMG_02,5942.0,4304.0,307.42857142857144,14.0,1026.3,583.6071428571429,4574.0,4304,4,1252.0,0.9409707039790118,5942.0,2.7464285714285714,14.0,84.01000000000002,29.857142857142854,2.3561090541905085
edf01,IMG_03,6095.0,4223.0,301.64285714285717,14.0,804.3214285714283,666.6999999999998,4475.0,3817,5,1102.0,0.8529608938547486,6095.0,2.7935714285714286,14.0,90.23285714285716,37.0,2.2969647251845777
edf01,IMG_04,6125.0,4327.0,309.07142857142856,14.0,910.9285714285713,593.9785714285715,4575.0,4575,5,1132.0,1.0,6125.0,2.7821428571428566,14.0,82.73357142857142,29.857142857142854,2.2857142857142856
edf01,IMG_05,6136.0,4424.0,402.1818181818182,11.0,883.0454545454545,427.9,4673.0,4673,5,1143.0,1.0,6136.0,2.7572727272727278,11.0,79.91,29.09090909090909,1.7926988265971318
edf01,IMG_06,5816.0,4206.0,350.5,12.0,934.5833333333335,579.8083333333333,4495.0,4495,3,823.0,1.0,5816.0,2.431666666666666,12.0,116.9,41.5,2.0632737276478683
edf01,IMG_07,6040.0,4310.0,307.85714285714283,14.0,952.4642857142856,363.8571428571428,4534.0,4344,4,1048.0,0.9580943978826644,6040.0,3.031428571428571,14.0,81.04428571428572,32.714285714285715,2.3178807947019866
edf01,IMG_08,5757.0,4649.0,387.41666666666674,12.0,932.2416666666667,534.5666666666666,4665.0,4229,3,764.0,0.9065380493033226,5757.0,2.0691666666666664,12.0,69.58166666666666,27.33333333333333,2.084418968212611
edf01,IMG_09,5757.0,4285.0,389.54545454545456,11.0,1017.8181818181816,550.5363636363637,4559.0,4317,5,764.0,0.9469181838122396,5757.0,2.2763636363636364,11.0,87.36636363636362,39.45454545454545,1.9107173875282264
edf01,IMG_10,5833.0,4313.0,431.3,10.0,876.4399999999998,622.5,4705.0,4705,4,840.0,1.0,5833.0,2.367,10.0,75.407,28.8,1.7143836790673752
