participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast,aoi_role
edf01,1,,free_viewing,,o_lamp_girl_light_lamp,4582.0,2000,3,1366.0,1366.0,0.43649061545176776,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_lighted_lamp.jpg,IMG_01,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,1,,free_viewing,,s_girl_girl_lit_lamp,4582.0,2582,3,1030.0,1030.0,0.5635093845482322,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_lighted_lamp.jpg,IMG_01,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,10,,free_viewing,,o_shrub_man_cut_shrub,4575.0,1900,2,1412.0,1412.0,0.41530054644808745,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_cut_shrub.jpg,IMG_04,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,10,,free_viewing,,s_man_man_cut_shrub,4575.0,2675,3,1132.0,1132.0,0.5846994535519126,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_cut_shrub.jpg,IMG_04,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,11,,free_viewing,,o_tree_girl_plant_tree,4475.0,2750,2,1390.0,1390.0,0.6145251396648045,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_plant_tree.jpg,IMG_03,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,11,,free_viewing,,s_girl_girl_plant_tree,4475.0,1067,3,1102.0,1102.0,0.2384357541899441,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_plant_tree.jpg,IMG_03,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,12,,free_viewing,,o_hole_dog_dug_hole,4657.0,1448,2,1452.0,1452.0,0.3109297831221817,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,IMG_13,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,12,,free_viewing,,s_dog_dog_dug_hole,4657.0,1788,2,1052.0,1052.0,0.3839381576121967,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,IMG_13,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,13,,free_viewing,,o_dog_girl_fed_dog,4512.0,1580,2,820.0,820.0,0.350177304964539,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_fed_dog.jpg,IMG_16,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,13,,free_viewing,,s_girl_girl_fed_dog,4512.0,1142,2,4024.0,4024.0,0.25310283687943264,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_fed_dog.jpg,IMG_16,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,14,,free_viewing,,o_vase_boy_broke_vase,4665.0,3517,2,764.0,764.0,0.7539121114683816,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,14,,free_viewing,,s_boy_boy_broke_vase,4665.0,712,1,4118.0,4118.0,0.15262593783494105,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,15,,free_viewing,,o_veg_boy_cut_vegetables,4714.0,4446,1,1024.0,1024.0,0.9431480695799744,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,IMG_18,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,15,,free_viewing,,s_boy_boy_cut_vegetables,4714.0,268,1,718.0,718.0,0.05685193042002545,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,IMG_18,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,16,,free_viewing,,o_picture_artiste_drew_picture,4534.0,2750,2,1048.0,1048.0,0.6065284516982796,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/artiste_drew_picture.jpg,IMG_07,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,16,,free_viewing,,s_artiste_artiste_drew_picture,4534.0,1594,2,3010.0,3010.0,0.35156594618438464,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/artiste_drew_picture.jpg,IMG_07,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,17,,free_viewing,,o_box_man_pushed_box,4673.0,908,2,1428.0,1428.0,0.19430772523004491,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_pushed_box.jpg,IMG_05,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,17,,free_viewing,,s_man_man_pushed_box,4673.0,3765,3,1143.0,1143.0,0.8056922747699551,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_pushed_box.jpg,IMG_05,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,18,,free_viewing,,o_bucket_boy_filled_bucket,4559.0,2306,2,764.0,764.0,0.5058126782189076,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_filled_bucket.jpg,IMG_09,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,18,,free_viewing,,s_boy_boy_filled_bucket,4559.0,2011,3,2804.0,2804.0,0.4411055055933319,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_filled_bucket.jpg,IMG_09,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,19,Punjabi,sentence_audio,active,o_letter_woman_read_letter,4833.0,1180,1,8184.0,8184.0,0.2441547692944341,exp_images/audio\PUNJABI\letter.wav,IMG_17_P_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter.jpg,STIM_17,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf01,19,Punjabi,sentence_audio,active,s_woman_woman_read_letter,4833.0,3653,2,5530.0,5530.0,0.7558452307055659,exp_images/audio\PUNJABI\letter.wav,IMG_17_P_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter.jpg,STIM_17,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf01,2,,free_viewing,,o_door_boy_opened_door,4705.0,1634,2,840.0,840.0,0.3472901168969182,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_opened_door.jpg,IMG_10,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf01,2,,free_viewing,,s_boy_boy_opened_door,4705.0,3071,2,1474.0,1474.0,0.6527098831030819,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_opened_door.jpg,IMG_10,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf01,20,Punjabi,sentence_audio,active,o_bucket_boy_filled_bucket,4726.0,3734,3,6057.0,6057.0,0.7900973338975879,exp_images/audio\PUNJABI\bucket.wav,IMG_09_P_ACT,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/Bucket.jpg,STIM_09,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf01,20,Punjabi,sentence_audio,active,s_boy_boy_filled_bucket,4726.0,992,2,7634.0,7634.0,0.20990266610241215,exp_images/audio\PUNJABI\bucket.wav,IMG_09_P_ACT,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/Bucket.jpg,STIM_09,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf01,21,Punjabi,sentence_audio,active,o_clothes_woman_folded_clothes,4616.0,4438,1,6162.0,6162.0,0.9614384748700172,exp_images/audio\PUNJABI\clothes.wav,IMG_06_P_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes.jpg,STIM_06,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf01,21,Punjabi,sentence_audio,active,s_woman_woman_folded_clothes,4616.0,0,0,,,0.0,exp_images/audio\PUNJABI\clothes.wav,IMG_06_P_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes.jpg,STIM_06,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf01,22,Punjabi,sentence_audio,passive,o_door_boy_opened_door,4217.0,1955,3,5324.0,5324.0,0.4635997154375148,exp_images/audio\PUNJABI\p_door.wav,IMG_10_P_PWA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/Closed-door-passive.jpg,STIM_28,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,object
edf01,22,Punjabi,sentence_audio,passive,s_boy_boy_opened_door,4217.0,2262,2,6010.0,6010.0,0.5364002845624852,exp_images/audio\PUNJABI\p_door.wav,IMG_10_P_PWA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/Closed-door-passive.jpg,STIM_28,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,agent
edf01,23,Punjabi,sentence_audio,passive,o_lamp_girl_light_lamp,4832.0,2296,2,5780.0,5780.0,0.4751655629139073,exp_images/audio\PUNJABI\p_lamp.wav,IMG_01_P_PWA,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/Lamp-passive.jpg,STIM_19,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,object
