participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf01,1,,free_viewing,,6020.0,4282.0,356.83333333333326,12.0,851.5999999999998,566.4499999999998,4582.0,4582,6,1030.0,1.0,6020.0,3.376666666666667,12.0,91.265,34.0,1.9933554817275752,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_lighted_lamp.jpg,IMG_01,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,10,,free_viewing,,6125.0,4327.0,309.07142857142856,14.0,910.9285714285713,593.9785714285715,4575.0,4575,5,1132.0,1.0,6125.0,2.7821428571428566,14.0,82.73357142857142,29.857142857142854,2.2857142857142856,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_cut_shrub.jpg,IMG_04,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,11,,free_viewing,,6095.0,4223.0,301.64285714285717,14.0,804.3214285714283,666.6999999999998,4475.0,3817,5,1102.0,0.8529608938547486,6095.0,2.7935714285714286,14.0,90.23285714285716,37.0,2.2969647251845777,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_plant_tree.jpg,IMG_03,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,12,,free_viewing,,6045.0,4475.0,406.8181818181818,11.0,881.3181818181821,680.8818181818183,4657.0,3236,4,1052.0,0.6948679407343784,6045.0,3.3572727272727283,11.0,89.06181818181818,30.54545454545455,1.8196856906534329,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,IMG_13,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,13,,free_viewing,,5812.0,4276.0,328.92307692307685,13.0,895.1769230769231,694.7384615384615,4512.0,2722,4,820.0,0.6032801418439716,5812.0,2.8453846153846163,13.0,89.03615384615385,36.92307692307692,2.2367515485203033,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_fed_dog.jpg,IMG_16,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,14,,free_viewing,,5757.0,4649.0,387.41666666666674,12.0,932.2416666666667,534.5666666666666,4665.0,4229,3,764.0,0.9065380493033226,5757.0,2.0691666666666664,12.0,69.58166666666666,27.33333333333333,2.084418968212611,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,15,,free_viewing,,5710.0,4446.0,494.0,9.0,1001.8666666666667,850.4666666666667,4714.0,4714,2,718.0,1.0,5710.0,2.6311111111111107,9.0,81.63555555555557,30.88888888888889,1.5761821366024518,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,IMG_18,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,16,,free_viewing,,6040.0,4310.0,307.85714285714283,14.0,952.4642857142856,363.8571428571428,4534.0,4344,4,1048.0,0.9580943978826644,6040.0,3.031428571428571,14.0,81.04428571428572,32.714285714285715,2.3178807947019866,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/artiste_drew_picture.jpg,IMG_07,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,17,,free_viewing,,6136.0,4424.0,402.1818181818182,11.0,883.0454545454545,427.9,4673.0,4673,5,1143.0,1.0,6136.0,2.7572727272727278,11.0,79.91,29.09090909090909,1.7926988265971318,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_pushed_box.jpg,IMG_05,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,18,,free_viewing,,5757.0,4285.0,389.54545454545456,11.0,1017.8181818181816,550.5363636363637,4559.0,4317,5,764.0,0.9469181838122396,5757.0,2.2763636363636364,11.0,87.36636363636362,39.45454545454545,1.9107173875282264,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_filled_bucket.jpg,IMG_09,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,19,Punjabi,sentence_audio,active,10523.0,4441.0,888.2,5.0,1035.74,559.2,4833.0,4833,3,5530.0,1.0,10523.0,2.8760000000000003,5.0,85.38199999999998,32.0,0.4751496721467262,exp_images/audio\PUNJABI\letter.wav,IMG_17_P_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter.jpg,STIM_17,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
