outcome,outcome_label,language,sentence_type,aoi_role,n,mean,sd,median,min,max
time_to_first_fixation,Time to first fixation,English,active,agent,146,6189.424657534247,840.1743237473783,6005.5,5191.0,10004.0
time_to_first_fixation,Time to first fixation,English,active,object,147,6097.061224489796,749.0671753669288,5921.0,5189.0,9580.0
time_to_first_fixation,Time to first fixation,English,passive,agent,140,6232.128571428571,951.2759537510628,6000.0,5171.0,10236.0
time_to_first_fixation,Time to first fixation,English,passive,object,145,6048.7793103448275,695.9812963339915,5926.0,5189.0,10734.0
time_to_first_fixation,Time to first fixation,English,passive_dropped_agent,agent,145,6355.496551724138,939.0440331361372,6149.0,5177.0,10590.0
time_to_first_fixation,Time to first fixation,English,passive_dropped_agent,object,145,6084.648275862069,706.76292122601,5972.0,5242.0,9940.0
time_to_first_fixation,Time to first fixation,Punjabi,active,agent,142,6121.154929577465,761.6791109287246,5946.5,5194.0,8894.0
time_to_first_fixation,Time to first fixation,Punjabi,active,object,143,6164.223776223776,917.4754125698119,5985.0,5213.0,10600.0
time_to_first_fixation,Time to first fixation,Punjabi,passive,agent,146,6131.280821917808,668.9049594173398,5956.5,5187.0,9036.0
time_to_first_fixation,Time to first fixation,Punjabi,passive,object,144,6060.909722222223,677.9132307576582,6015.0,5203.0,10706.0
time_to_first_fixation,Time to first fixation,Punjabi,passive_dropped_agent,agent,143,6308.797202797203,974.911729911422,6070.0,5241.0,10812.0
time_to_first_fixation,Time to first fixation,Punjabi,passive_dropped_agent,object,147,6059.8707482993195,561.8795302084286,6034.0,5181.0,8582.0
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,active,agent,150,0.41655471498627994,0.24299992926655026,0.40637265807619755,0.0,1.118051217988757
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,active,object,150,0.49295780074066076,0.2674354828710487,0.4935823721691242,0.0,1.4302059496567503
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,passive,agent,150,0.3940540469917036,0.24193657546483432,0.3857935707194641,0.0,1.0
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,passive,object,150,0.5215960690412074,0.29416018680045586,0.5036060380493306,0.0,1.7815873015873016
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,passive_dropped_agent,agent,150,0.3972916699429716,0.2520159974126252,0.3571925669162908,0.0,1.2734607218683651
dwell_time_normalized_by_trial_length,Dwell time normalized by trial length,English,passive_dropped_agent,object,150,0.5078758345790857,0.27253561967804074,0.4836741800278205,0.0,1.1908569085690857
