"model","model_family","outcome","n","aic","deviance_explained","r_sq","scale"
"trial_sentence_type_delta_fixation_mean_fixation_duration","trial_language_by_sentence_type","delta_fixation_mean_fixation_duration",896,13604.9586443864,0.104475511993432,0.0691993038364327,219614.830878061
"trial_sentence_type_delta_fixation_total_fixation_duration","trial_language_by_sentence_type","delta_fixation_total_fixation_duration",896,13520.6624708781,0.133227174882326,0.0919790687546969,198699.676876375
"trial_sentence_type_delta_fixation_fixation_count","trial_language_by_sentence_type","delta_fixation_fixation_count",896,5125.4237103156,0.149974170841132,0.112599265086909,17.054630792862
"trial_sentence_type_delta_interest_area_total_interest_area_dwell_time","trial_language_by_sentence_type","delta_interest_area_total_interest_area_dwell_time",900,14556.771524241,0.0883431930756743,0.0572639524080871,596165.59983269
"trial_sentence_type_delta_interest_area_interest_area_dwell_time_normalized","trial_language_by_sentence_type","delta_interest_area_interest_area_dwell_time_normalized",900,-746.94299885365,0.0260149945880888,0.0111947857452008,0.0249750814630968
"trial_sentence_type_delta_saccade_saccade_rate","trial_language_by_sentence_type","delta_saccade_saccade_rate",897,1659.70310788152,0.275209131712506,0.22775091773227,0.348858744706677
"trial_sentence_type_delta_saccade_mean_saccade_amplitude","trial_language_by_sentence_type","delta_saccade_mean_saccade_amplitude",897,3214.75230461106,0.0819051081879407,0.0513170623753277,2.03119052705202
"trial_sentence_type_delta_saccade_mean_saccade_velocity","trial_language_by_sentence_type","delta_saccade_mean_saccade_velocity",897,9979.58159213345,0.169746674258706,0.130537469333039,3785.88398698598
"trial_sentence_type_delta_saccade_mean_saccade_duration","trial_language_by_sentence_type","delta_saccade_mean_saccade_duration",897,10672.6673794834,0.0282202970275051,0.0125130690898564,8375.84665687949
"trial_sentence_type_cognitive_load_index","trial_language_by_sentence_type","cognitive_load_index",900,1481.42356752204,0.0796811875443767,0.0489853284955332,0.292510743909445
"agent_first_cognitive_load_index","trial_language_by_agent_first","cognitive_load_index",900,1479.44953539875,0.0776091353556552,0.049029083805288,0.292497287968827
"agent_overt_passive_only_cognitive_load_index","passive_only_language_by_agent_overt","cognitive_load_index",600,1107.21768650127,0.0794624436960706,0.0451872885040976,0.354462984016347
"ia_role_time_to_first_fixation","interest_area_language_by_sentence_type_by_role","time_to_first_fixation",1733,27773.2175087585,0.220160726731348,0.1940367640181,515421.853788994
"ia_role_dwell_time_normalized_by_trial_length","interest_area_language_by_sentence_type_by_role","dwell_time_normalized_by_trial_length",1800,-191.280612336068,0.309804527913073,0.281372739858464,0.0505077218190655
"ia_role_dwell_time","interest_area_language_by_sentence_type_by_role","dwell_time",1800,30101.2577446006,0.321138508310975,0.290350712777948,1025021.50934643
"ia_role_entry_count","interest_area_language_by_sentence_type_by_role","entry_count",1800,5374.67135185678,0.336392601743427,0.303179773531383,1.1046005781046
"agent_first_look_logistic","first_aoi_visit_logistic","agent_first_look",893,965.83618590326,0.284314257942495,0.309692260863293,1
