language,sentence_type,fixation_index,mean_duration_ms,n
Punjabi,active,2,340.5133333333333,150
Punjabi,active,3,389.8783783783784,148
Punjabi,active,4,381.1418918918919,148
Punjabi,active,5,345.5931034482759,145
Punjabi,active,6,378.3541666666667,144
Punjabi,active,7,416.13286713286715,143
Punjabi,active,8,343.5072463768116,138
Punjabi,active,9,380.15384615384613,130
Punjabi,active,10,324.09166666666664,120
Punjabi,active,11,336.1181818181818,110
Punjabi,active,12,327.22222222222223,99
Punjabi,active,13,279.719512195122,82
Punjabi,active,14,302.5571428571429,70
Punjabi,active,15,228.28070175438597,57
Punjabi,active,16,222.8372093023256,43
Punjabi,active,17,212.0,30
Punjabi,active,18,179.76470588235293,17
Punjabi,passive,2,332.58,150
Punjabi,passive,3,405.8523489932886,149
Punjabi,passive,4,398.8783783783784,148
Punjabi,passive,5,377.84137931034485,145
Punjabi,passive,6,375.27659574468083,141
Punjabi,passive,7,374.04285714285714,140
Punjabi,passive,8,365.77862595419845,131
Punjabi,passive,9,344.8515625,128
Punjabi,passive,10,363.625,120
Punjabi,passive,11,326.0,113
Punjabi,passive,12,271.3979591836735,98
Punjabi,passive,13,318.5975609756098,82
Punjabi,passive,14,273.85,60
Punjabi,passive,15,287.2156862745098,51
Punjabi,passive,16,262.02777777777777,36
Punjabi,passive,17,221.57692307692307,26
Punjabi,passive,18,254.53333333333333,15
Punjabi,passive_dropped_agent,2,276.2013422818792,149
Punjabi,passive_dropped_agent,3,346.2684563758389,149
Punjabi,passive_dropped_agent,4,442.7567567567568,148
Punjabi,passive_dropped_agent,5,424.2896551724138,145
Punjabi,passive_dropped_agent,6,391.66901408450707,142
Punjabi,passive_dropped_agent,7,356.9432624113475,141
Punjabi,passive_dropped_agent,8,328.66906474820144,139
Punjabi,passive_dropped_agent,9,334.9323308270677,133
Punjabi,passive_dropped_agent,10,376.3225806451613,124
Punjabi,passive_dropped_agent,11,336.73636363636365,110
Punjabi,passive_dropped_agent,12,311.6458333333333,96
Punjabi,passive_dropped_agent,13,287.0595238095238,84
Punjabi,passive_dropped_agent,14,285.7230769230769,65
Punjabi,passive_dropped_agent,15,221.59183673469389,49
Punjabi,passive_dropped_agent,16,237.46153846153845,39
Punjabi,passive_dropped_agent,17,231.46153846153845,26
Punjabi,passive_dropped_agent,18,233.7058823529412,17
English,active,2,268.92,150
English,active,3,399.1677852348993,149
English,active,4,361.8255033557047,149
English,active,5,399.31081081081084,148
English,active,6,394.04794520547944,146
English,active,7,357.6041666666667,144
English,active,8,409.72661870503595,139
English,active,9,376.67175572519085,131
English,active,10,329.8524590163934,122
English,active,11,301.53982300884957,113
English,active,12,298.58762886597935,97
English,active,13,335.59090909090907,88
English,active,14,259.95522388059703,67
English,active,15,210.3272727272727,55
English,active,16,234.6904761904762,42
English,active,17,214.26923076923077,26
English,active,18,174.3125,16
English,passive,2,375.9189189189189,148
English,passive,3,401.29931972789115,147
English,passive,4,412.06206896551726,145
English,passive,5,427.34965034965035,143
English,passive,6,380.9714285714286,140
English,passive,7,400.2116788321168,137
English,passive,8,425.3308270676692,133
English,passive,9,395.525,120
English,passive,10,372.11607142857144,112
English,passive,11,315.5353535353535,99
English,passive,12,327.88505747126436,87
English,passive,13,279.8666666666667,75
English,passive,14,303.48275862068965,58
English,passive,15,285.025,40
English,passive,16,246.9090909090909,22
English,passive,17,226.5,12
English,passive,18,187.14285714285714,7
English,passive_dropped_agent,2,322.3959731543624,149
English,passive_dropped_agent,3,409.4054054054054,148
English,passive_dropped_agent,4,413.93243243243245,148
English,passive_dropped_agent,5,424.8493150684931,146
English,passive_dropped_agent,6,421.09859154929575,142
English,passive_dropped_agent,7,378.6821705426357,129
English,passive_dropped_agent,8,388.4263565891473,129
English,passive_dropped_agent,9,385.96774193548384,124
English,passive_dropped_agent,10,340.8119658119658,117
English,passive_dropped_agent,11,335.64356435643566,101
English,passive_dropped_agent,12,315.60714285714283,84
English,passive_dropped_agent,13,325.2957746478873,71
English,passive_dropped_agent,14,298.2105263157895,57
English,passive_dropped_agent,15,234.82926829268294,41
English,passive_dropped_agent,16,239.16666666666666,30
English,passive_dropped_agent,17,208.58823529411765,17
English,passive_dropped_agent,18,175.84615384615384,13
