language,sentence_type,fixation_index,n_fixations,n_trials_contributing,prop_agent_look,prop_object_look
Punjabi,active,2,136,50,0.39705882352941174,0.6029411764705883
Punjabi,active,3,135,50,0.4666666666666667,0.5333333333333333
Punjabi,active,4,137,50,0.46715328467153283,0.5328467153284672
Punjabi,active,5,127,50,0.44881889763779526,0.5511811023622047
Punjabi,active,6,130,48,0.47692307692307695,0.523076923076923
Punjabi,active,7,129,49,0.4108527131782946,0.5891472868217054
Punjabi,active,8,122,47,0.4262295081967213,0.5737704918032787
Punjabi,active,9,109,47,0.45871559633027525,0.5412844036697247
Punjabi,active,10,104,45,0.4326923076923077,0.5673076923076923
Punjabi,active,11,91,44,0.43956043956043955,0.5604395604395604
Punjabi,active,12,88,42,0.5568181818181818,0.44318181818181823
Punjabi,active,13,77,39,0.5584415584415584,0.4415584415584416
Punjabi,active,14,56,33,0.48214285714285715,0.5178571428571428
Punjabi,active,15,49,33,0.4489795918367347,0.5510204081632653
Punjabi,active,16,36,23,0.4722222222222222,0.5277777777777778
Punjabi,active,17,26,17,0.6923076923076923,0.3076923076923077
Punjabi,active,18,15,14,0.7333333333333333,0.2666666666666667
Punjabi,passive,2,137,50,0.49635036496350365,0.5036496350364963
Punjabi,passive,3,138,50,0.4420289855072464,0.5579710144927537
Punjabi,passive,4,135,50,0.42962962962962964,0.5703703703703704
Punjabi,passive,5,133,50,0.48120300751879697,0.518796992481203
Punjabi,passive,6,127,49,0.44881889763779526,0.5511811023622047
Punjabi,passive,7,121,49,0.5041322314049587,0.49586776859504134
Punjabi,passive,8,115,49,0.46956521739130436,0.5304347826086957
Punjabi,passive,9,110,48,0.5,0.5
Punjabi,passive,10,102,47,0.5098039215686274,0.4901960784313726
Punjabi,passive,11,98,45,0.5,0.5
Punjabi,passive,12,82,41,0.5121951219512195,0.4878048780487805
Punjabi,passive,13,70,38,0.45714285714285713,0.5428571428571429
Punjabi,passive,14,53,30,0.5094339622641509,0.49056603773584906
Punjabi,passive,15,45,28,0.4888888888888889,0.5111111111111111
Punjabi,passive,16,30,23,0.3333333333333333,0.6666666666666667
Punjabi,passive,17,25,21,0.48,0.52
Punjabi,passive,18,14,12,0.5714285714285714,0.4285714285714286
Punjabi,passive_dropped_agent,2,134,49,0.39552238805970147,0.6044776119402986
Punjabi,passive_dropped_agent,3,136,50,0.39705882352941174,0.6029411764705883
Punjabi,passive_dropped_agent,4,133,50,0.3684210526315789,0.631578947368421
Punjabi,passive_dropped_agent,5,129,49,0.3953488372093023,0.6046511627906976
Punjabi,passive_dropped_agent,6,121,49,0.49586776859504134,0.5041322314049587
Punjabi,passive_dropped_agent,7,123,50,0.43089430894308944,0.5691056910569106
Punjabi,passive_dropped_agent,8,112,48,0.4375,0.5625
Punjabi,passive_dropped_agent,9,112,48,0.39285714285714285,0.6071428571428572
Punjabi,passive_dropped_agent,10,103,49,0.5242718446601942,0.47572815533980584
Punjabi,passive_dropped_agent,11,99,45,0.45454545454545453,0.5454545454545454
Punjabi,passive_dropped_agent,12,85,47,0.4,0.6
Punjabi,passive_dropped_agent,13,72,40,0.4444444444444444,0.5555555555555556
Punjabi,passive_dropped_agent,14,55,32,0.43636363636363634,0.5636363636363637
Punjabi,passive_dropped_agent,15,41,29,0.3902439024390244,0.6097560975609756
Punjabi,passive_dropped_agent,16,31,26,0.4838709677419355,0.5161290322580645
Punjabi,passive_dropped_agent,17,17,11,0.47058823529411764,0.5294117647058824
Punjabi,passive_dropped_agent,18,14,10,0.42857142857142855,0.5714285714285714
English,active,2,137,50,0.36496350364963503,0.635036496350365
English,active,3,139,50,0.49640287769784175,0.5035971223021583
English,active,4,133,50,0.38345864661654133,0.6165413533834587
English,active,5,128,50,0.390625,0.609375
English,active,6,134,50,0.48507462686567165,0.5149253731343284
English,active,7,120,49,0.43333333333333335,0.5666666666666667
English,active,8,117,48,0.4700854700854701,0.5299145299145299
English,active,9,116,50,0.46551724137931033,0.5344827586206897
English,active,10,107,47,0.5327102803738317,0.4672897196261683
English,active,11,100,46,0.55,0.44999999999999996
English,active,12,80,43,0.4875,0.5125
English,active,13,72,39,0.4861111111111111,0.5138888888888888
English,active,14,52,32,0.4423076923076923,0.5576923076923077
English,active,15,46,28,0.41304347826086957,0.5869565217391304
English,active,16,35,23,0.45714285714285713,0.5428571428571429
English,active,17,22,17,0.5,0.5
English,active,18,12,9,0.16666666666666666,0.8333333333333334
English,passive,2,139,50,0.3597122302158273,0.6402877697841727
English,passive,3,139,50,0.4028776978417266,0.5971223021582734
English,passive,4,130,49,0.4153846153846154,0.5846153846153845
English,passive,5,124,48,0.3951612903225806,0.6048387096774194
English,passive,6,131,50,0.4122137404580153,0.5877862595419847
English,passive,7,126,50,0.49206349206349204,0.5079365079365079
English,passive,8,119,50,0.3949579831932773,0.6050420168067228
English,passive,9,98,50,0.4489795918367347,0.5510204081632653
English,passive,10,97,47,0.422680412371134,0.5773195876288659
English,passive,11,79,45,0.4177215189873418,0.5822784810126582
English,passive,12,73,41,0.4931506849315068,0.5068493150684932
English,passive,13,67,40,0.4626865671641791,0.5373134328358209
English,passive,14,48,29,0.5833333333333334,0.41666666666666663
English,passive,15,33,24,0.48484848484848486,0.5151515151515151
English,passive,16,18,14,0.4444444444444444,0.5555555555555556
English,passive,17,9,7,0.4444444444444444,0.5555555555555556
English,passive,18,5,5,0.4,0.6
English,passive_dropped_agent,2,137,50,0.32116788321167883,0.6788321167883211
English,passive_dropped_agent,3,140,50,0.36428571428571427,0.6357142857142857
English,passive_dropped_agent,4,131,50,0.4351145038167939,0.5648854961832062
English,passive_dropped_agent,5,136,49,0.5,0.5
English,passive_dropped_agent,6,129,49,0.5348837209302325,0.4651162790697675
English,passive_dropped_agent,7,111,46,0.4594594594594595,0.5405405405405406
English,passive_dropped_agent,8,112,48,0.36607142857142855,0.6339285714285714
English,passive_dropped_agent,9,110,46,0.4727272727272727,0.5272727272727273
English,passive_dropped_agent,10,106,47,0.4528301886792453,0.5471698113207547
English,passive_dropped_agent,11,79,42,0.4050632911392405,0.5949367088607596
English,passive_dropped_agent,12,71,37,0.38028169014084506,0.619718309859155
English,passive_dropped_agent,13,61,36,0.4098360655737705,0.5901639344262295
