language,sentence_type,time_bin_ms,n_fixations,prop_agent_look
Punjabi,active,0,304,0.4309210526315789
Punjabi,active,500,160,0.44375
Punjabi,active,1000,160,0.41875
Punjabi,active,1500,157,0.46496815286624205
Punjabi,active,2000,158,0.4240506329113924
Punjabi,active,2500,149,0.4966442953020134
Punjabi,active,3000,136,0.5220588235294118
Punjabi,active,3500,146,0.5273972602739726
Punjabi,active,4000,143,0.5244755244755245
Punjabi,passive,0,300,0.45666666666666667
Punjabi,passive,500,171,0.4269005847953216
Punjabi,passive,1000,173,0.42196531791907516
Punjabi,passive,1500,153,0.5163398692810458
Punjabi,passive,2000,146,0.4726027397260274
Punjabi,passive,2500,155,0.5225806451612903
Punjabi,passive,3000,139,0.5899280575539568
Punjabi,passive,3500,141,0.49645390070921985
Punjabi,passive,4000,115,0.4434782608695652
Punjabi,passive_dropped_agent,0,302,0.40066225165562913
Punjabi,passive_dropped_agent,500,151,0.3841059602649007
Punjabi,passive_dropped_agent,1000,151,0.40397350993377484
Punjabi,passive_dropped_agent,1500,152,0.48026315789473684
Punjabi,passive_dropped_agent,2000,163,0.4110429447852761
Punjabi,passive_dropped_agent,2500,158,0.43670886075949367
Punjabi,passive_dropped_agent,3000,136,0.49264705882352944
Punjabi,passive_dropped_agent,3500,133,0.45112781954887216
Punjabi,passive_dropped_agent,4000,131,0.40458015267175573
English,active,0,300,0.43333333333333335
English,active,500,169,0.44970414201183434
English,active,1000,152,0.39473684210526316
English,active,1500,152,0.3815789473684211
English,active,2000,153,0.5098039215686274
English,active,2500,162,0.4567901234567901
English,active,3000,140,0.44285714285714284
English,active,3500,155,0.4774193548387097
English,active,4000,128,0.5703125
English,passive,0,297,0.3838383838383838
English,passive,500,147,0.4557823129251701
English,passive,1000,153,0.38562091503267976
English,passive,1500,149,0.48322147651006714
English,passive,2000,141,0.3900709219858156
English,passive,2500,127,0.44881889763779526
English,passive,3000,136,0.4485294117647059
English,passive,3500,130,0.45384615384615384
English,passive,4000,118,0.4830508474576271
English,passive_dropped_agent,0,291,0.3470790378006873
English,passive_dropped_agent,500,154,0.538961038961039
English,passive_dropped_agent,1000,168,0.42857142857142855
English,passive_dropped_agent,1500,144,0.4375
English,passive_dropped_agent,2000,154,0.487012987012987
English,passive_dropped_agent,2500,130,0.35384615384615387
English,passive_dropped_agent,3000,129,0.4263565891472868
English,passive_dropped_agent,3500,129,0.46511627906976744
English,passive_dropped_agent,4000,124,0.45161290322580644
