participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf01,1,,free_viewing,,6020,4282,356.8333333333333,12,851.5999999999999,566.4499999999999
edf01,10,,free_viewing,,6125,4327,309.07142857142856,14,910.9285714285713,593.9785714285715
edf01,11,,free_viewing,,6095,4223,301.64285714285717,14,804.3214285714284,666.6999999999999
edf01,12,,free_viewing,,6045,4475,406.8181818181818,11,881.318181818182,680.8818181818183
edf01,13,,free_viewing,,5812,4276,328.9230769230769,13,895.176923076923,694.7384615384615
edf01,14,,free_viewing,,5757,4649,387.4166666666667,12,932.2416666666667,534.5666666666666
edf01,15,,free_viewing,,5710,4446,494.0,9,1001.8666666666668,850.4666666666667
edf01,16,,free_viewing,,6040,4310,307.85714285714283,14,952.4642857142856,363.8571428571428
edf01,17,,free_viewing,,6136,4424,402.1818181818182,11,883.0454545454545,427.90000000000003
edf01,18,,free_viewing,,5757,4285,389.54545454545456,11,1017.8181818181816,550.5363636363637
edf01,19,Punjabi,sentence_audio,active,10523,4441,888.2,5,1035.74,559.2
edf01,2,,free_viewing,,5833,4313,431.3,10,876.4399999999999,622.5
edf01,20,Punjabi,sentence_audio,active,11049,4515,564.375,8,943.75,462.15
edf01,21,Punjabi,sentence_audio,active,10744,4438,634.0,7,943.4571428571428,706.6714285714286
edf01,22,Punjabi,sentence_audio,passive,10317,4155,461.6666666666667,9,940.1111111111111,423.8999999999999
edf01,23,Punjabi,sentence_audio,passive,10772,4182,1045.5,4,930.45,461.07499999999993
edf01,24,Punjabi,sentence_audio,passive,10554,4154,415.4,10,912.8,440.01999999999987
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,10864,4400,550.0,8,1087.8500000000001,390.17500000000007
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,10411,4413,630.4285714285714,7,908.4857142857143,582.3
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,11145,4247,353.9166666666667,12,848.6416666666668,403.01666666666665
edf01,28,English,sentence_audio,active,11082,4372,546.5,8,817.6625,615.15
edf01,29,English,sentence_audio,active,10430,4402,628.8571428571429,7,873.9285714285714,309.1571428571429
edf01,3,,free_viewing,,6032,4388,487.55555555555554,9,1047.0666666666666,630.8222222222222
edf01,30,English,sentence_audio,active,10254,4362,436.2,10,883.3800000000001,469.66
edf01,31,English,sentence_audio,passive,10196,4460,446.0,10,1005.71,321.69
edf01,32,English,sentence_audio,passive,10912,4486,747.6666666666666,6,971.6,636.0333333333333
edf01,33,English,sentence_audio,passive,10400,4422,442.2,10,1095.98,499.53999999999996
edf01,34,English,sentence_audio,passive_dropped_agent,10936,4620,924.0,5,915.82,621.76
edf01,35,English,sentence_audio,passive_dropped_agent,10851,4336,361.3333333333333,12,1063.8083333333334,603.8333333333334
edf01,36,English,sentence_audio,passive_dropped_agent,10826,3818,763.6,5,973.0600000000001,506.94000000000005
edf01,4,,free_viewing,,5654,4344,334.15384615384613,13,1026.6076923076923,460.5846153846154
edf01,5,,free_viewing,,5837,4203,280.2,15,1041.7066666666665,532.3533333333332
edf01,6,,free_viewing,,5800,4352,435.2,10,859.18,482.87
edf01,7,,free_viewing,,5816,4206,350.5,12,934.5833333333334,579.8083333333333
edf01,8,,free_viewing,,5942,4304,307.42857142857144,14,1026.3,583.6071428571429
edf01,9,,free_viewing,,5883,4445,444.5,10,807.0199999999999,614.1899999999998
edf02,1,,free_viewing,,5693,4230,282.0,15,923.5666666666665,713.5800000000002
edf02,10,,free_viewing,,5962,4192,698.6666666666666,6,916.1833333333334,403.8999999999999
