participant_id,source_file,data_file,eye_reported,eye_tracked,grouping_variables,ia_area,ia_average_fix_pupil_size,ia_bottom,ia_dwell_time,ia_dwell_time_pct,ia_dynamic,ia_end_time,ia_first_fixation_duration,ia_first_fixation_index,ia_first_fixation_previous_fix_ia,ia_first_fixation_previous_iareas,ia_first_fixation_run_index,ia_first_fixation_time,ia_first_fixation_visited_ia_count,ia_first_fixation_x,ia_first_fixation_y,ia_first_fix_progressive,ia_first_run_dwell_time,ia_first_run_end_time,ia_first_run_fixation_pct,ia_first_run_fixation_count,ia_first_run_landing_position,ia_first_run_launch_site,ia_first_run_launch_x,ia_first_run_launch_y,ia_first_run_start_time,ia_first_saccade_amplitude,ia_first_saccade_angle,ia_first_saccade_end_time,ia_first_saccade_index,ia_first_saccade_start_time,ia_fixation_pct,ia_fixation_count,ia_fsa_count_2,ia_fsa_count_3,ia_fsa_count_1,ia_fsa_duration_2,ia_fsa_duration_3,ia_fsa_duration_1,ia_group,ia_id,ia_instances_count,ia_label,ia_last_fixation_duration,ia_last_fixation_run,ia_last_fixation_time,ia_last_fixation_x,ia_last_fixation_y,ia_last_run_dwell_time,ia_last_run_end_time,ia_last_run_fixation_pct,ia_last_run_fixation_count,ia_last_run_landing_position,ia_last_run_launch_site,ia_last_run_launch_x,ia_last_run_launch_y,ia_last_run_start_time,ia_last_saccade_amplitude,ia_last_saccade_angle,ia_last_saccade_end_time,ia_last_saccade_index,ia_last_saccade_start_time,ia_left,ia_legal,ia_legal_immediate,ia_max_fix_pupil_size,ia_min_fix_pupil_size,ia_points,ia_regression_in,ia_regression_in_count,ia_regression_out,ia_regression_out_count,ia_regression_out_full,ia_regression_out_full_count,ia_regression_path_duration,ia_right,ia_run_count,ia_second_fixation_duration,ia_second_fixation_run,ia_second_fixation_time,ia_second_fixation_x,ia_second_fixation_y,ia_second_run_dwell_time,ia_second_run_end_time,ia_second_run_fixation_pct,ia_second_run_fixation_count,ia_second_run_landing_position,ia_second_run_launch_site,ia_second_run_launch_x,ia_second_run_launch_y,ia_second_run_start_time,ia_selective_regression_path_duration,ia_skip,ia_spillover,ia_start_time,ia_third_fixation_duration,ia_third_fixation_run,ia_third_fixation_time,ia_third_fixation_x,ia_third_fixation_y,ia_third_run_dwell_time,ia_third_run_end_time,ia_third_run_fixation_pct,ia_third_run_fixation_count,ia_third_run_landing_position,ia_third_run_launch_site,ia_third_run_launch_x,ia_third_run_launch_y,ia_third_run_start_time,ia_top,ia_type,interest_area_fixation_sequence,ip_end_event_matched,ip_end_time,ip_index,ip_label,ip_start_event_matched,ip_start_time,recording_session_label,reporting_method,sampling_rate,time_scale,trial_dwell_time,trial_fixation_count,trial_ia_count,trial_index,trial_label,trial_start_time,trial_total_visited_ia_count,audio,exp_id,image,image_id,language,s1_crosshair_onset_time,s1_crosshair_s_onset_time,s1_image_onset_time,s1_sentence_onset_time,sentence,session_var,stim_id,stimulus_file,tr1_crosshair_onset_time,tr1_image_onset_time,voice_id,session_type,sentence_type,trial_id
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,191100.0,502.29,1027.0,2000,0.4365,False,,208.0,2.0,3.0,[3],2.0,1366.0,1.0,769.8,549.1,0.0,208.0,1572.0,0.0769,1.0,177.8,-366.6,958.6,553.7,1366.0,3.24,-176.28,1364.0,1.0,1330.0,0.5385,7,4,2.0,,1388,820.0,,,2,,o_lamp_girl_light_lamp,220.0,3.0,5800.0,736.3,946.7,398.0,6020.0,0.1538,2.0,115.8,-487.5,1079.5,764.3,5588.0,2.51,-75.86,5798.0,12.0,5766.0,592.0,0,0,546.0,471.0,,1.0,3.0,0.0,0.0,0.0,0.0,208.0,886.0,3,226.0,2.0,3178.0,736.7,534.3,1394.0,4656.0,0.3077,4.0,144.7,-499.5,1091.5,291.9,3178.0,208.0,1,,,166.0,2.0,3424.0,757.1,575.3,398.0,6020.0,0.1538,2.0,115.8,-487.5,1079.5,764.3,5588.0,377.0,RECTANGLE,"[3, 2, 3, 2, 3, 2]",True,2322010,1,all_images,True,2317020,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4582.0,13,2,1,Trial: 1,2315990,2,,,exp_images/images/girl_lighted_lamp.jpg,IMG_01,,,,,,,free_view,,,21290.0,22164.0,,free_viewing,,1
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,242195.0,479.67,940.0,2582,0.5635,False,,300.0,1.0,,,1.0,1030.0,0.0,958.6,553.7,1.0,300.0,1328.0,0.0769,1.0,41.6,,,,1030.0,,,,,,0.4615,6,3,3.0,,612,1462.0,,,3,,s_girl_girl_lit_lamp,210.0,3.0,5332.0,1079.5,764.3,814.0,5540.0,0.1538,2.0,5.8,95.5,821.5,541.1,4686.0,4.78,-52.21,5330.0,10.0,5290.0,917.0,0,0,502.0,464.0,,0.0,0.0,1.0,3.0,1.0,3.0,4582.0,1212.0,3,216.0,2.0,1610.0,941.6,379.0,1468.0,3126.0,0.2308,3.0,24.6,147.2,769.8,549.1,1610.0,2582.0,0,,,834.0,2.0,1852.0,1002.1,315.1,814.0,5540.0,0.1538,2.0,5.8,95.5,821.5,541.1,4686.0,119.0,RECTANGLE,"[3, 2, 3, 2, 3, 2]",True,2322010,1,all_images,True,2317020,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4582.0,13,2,1,Trial: 1,2315990,2,,,exp_images/images/girl_lighted_lamp.jpg,IMG_01,,,,,,,free_view,,,21290.0,22164.0,,free_viewing,,1
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,150682.0,480.14,923.0,3071,0.6527,False,,788.0,3.0,3.0,[3],2.0,1474.0,1.0,873.2,410.2,0.0,2558.0,4170.0,0.5455,6.0,197.2,-325.1,1001.1,524.1,1474.0,2.61,139.78,1472.0,2.0,1444.0,0.6364,7,5,1.0,,1770,272.0,,,2,,s_boy_boy_opened_door,513.0,2.0,5320.0,881.1,416.7,513.0,5833.0,0.0909,1.0,205.1,-303.3,979.3,480.2,5320.0,2.03,147.77,5318.0,10.0,5292.0,676.0,0,0,521.0,427.0,,1.0,2.0,0.0,0.0,0.0,0.0,2558.0,905.0,2,702.0,1.0,2286.0,804.8,423.5,513.0,5833.0,0.0909,1.0,205.1,-303.3,979.3,480.2,5320.0,2558.0,1,,,266.0,1.0,3030.0,784.6,745.2,,,,,,,,,,265.0,RECTANGLE,"[3, 2, 3, 2]",True,2331655,1,all_images,True,2326662,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4705.0,11,2,2,Trial: 2,2325822,2,,,exp_images/images/boy_opened_door.jpg,IMG_10,,,,,,,free_view,,,31125.0,31807.0,,free_viewing,,2
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,267840.0,450.0,818.0,1634,0.3473,False,,392.0,1.0,,,1.0,840.0,0.0,956.7,542.0,1.0,586.0,1442.0,0.1818,2.0,39.7,,,,840.0,,,,,,0.3636,4,2,2.0,,1301,970.0,,,3,,o_door_boy_opened_door,776.0,2.0,4516.0,979.3,480.2,1048.0,5290.0,0.1818,2.0,84.7,45.9,871.1,893.0,4210.0,2.82,99.45,4514.0,9.0,4482.0,917.0,0,0,473.0,411.0,,0.0,0.0,1.0,2.0,1.0,2.0,4705.0,1277.0,2,194.0,1.0,1250.0,1001.1,524.1,1048.0,5290.0,0.1818,2.0,84.7,45.9,871.1,893.0,4210.0,1634.0,0,,,272.0,2.0,4210.0,1001.7,641.8,,,,,,,,,,74.0,RECTANGLE,"[3, 2, 3, 2]",True,2331655,1,all_images,True,2326662,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4705.0,11,2,2,Trial: 2,2325822,2,,,exp_images/images/boy_opened_door.jpg,IMG_10,,,,,,,free_view,,,31125.0,31807.0,,free_viewing,,2
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,138902.0,457.43,930.0,3432,0.7341,False,,446.0,4.0,3.0,[3],2.0,2382.0,1.0,1090.1,777.1,0.0,3432.0,6032.0,0.7,7.0,173.1,-32.6,949.6,360.9,2382.0,7.89,-68.5,2380.0,3.0,2334.0,0.7,7,6,0.0,,2986,0.0,,,2,,o_letter_woman_read_letter,290.0,1.0,5742.0,1081.1,688.4,3432.0,6032.0,0.7,7.0,173.1,-32.6,949.6,360.9,2382.0,0.86,168.6,5740.0,9.0,5722.0,917.0,0,0,514.0,413.0,,1.0,1.0,0.0,0.0,0.0,0.0,3432.0,1315.0,1,404.0,1.0,2854.0,990.6,782.1,,,,,,,,,,3432.0,1,,,828.0,1.0,3282.0,1011.0,652.8,,,,,,,,,,581.0,RECTANGLE,"[3, 2]",True,2341494,1,all_images,True,2336501,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4675.0,10,2,3,Trial: 3,2335462,2,,,exp_images/images/women_read_letter.jpg,IMG_17,,,,,,,free_view,,,40767.0,41646.0,,free_viewing,,3
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,354023.5,446.33,,1243,0.2659,False,,287.0,1.0,,,1.0,1039.0,0.0,962.1,543.6,1.0,1243.0,2332.0,0.3,3.0,390.1,,,,1039.0,,,,,,0.3,3,1,2.0,,446,956.0,,,3,,s_woman_woman_read_letter,684.0,1.0,1650.0,949.6,360.9,1243.0,2332.0,0.3,3.0,390.1,,,,1039.0,1.16,100.85,1648.0,2.0,1626.0,,0,0,461.0,427.0,"1148.0,545.0 1141.0,119.0 630.0,102.0 572.0,96.0 580.0,898.0 871.0,899.0 865.0,559.0 1148.0,554.0 1148.0,539.0 ",0.0,0.0,1.0,1.0,1.0,1.0,4675.0,,1,272.0,1.0,1354.0,983.5,448.3,,,,,,,,,,1243.0,0,,,684.0,1.0,1650.0,949.6,360.9,,,,,,,,,,,FREEHAND,"[3, 2]",True,2341494,1,all_images,True,2336501,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4675.0,10,2,3,Trial: 3,2335462,2,,,exp_images/images/women_read_letter.jpg,IMG_17,,,,,,,free_view,,,40767.0,41646.0,,free_viewing,,3
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,178891.0,446.0,820.0,2540,0.554,False,,212.0,4.0,3.0,[3],3.0,2346.0,1.0,1115.9,296.6,0.0,552.0,2962.0,0.2143,3.0,135.9,233.6,746.4,275.7,2346.0,6.76,-4.55,2344.0,3.0,2296.0,0.7143,10,8,0.0,,2004,0.0,,,2,,s_child_child_throw_frisbee,116.0,2.0,5538.0,1147.8,346.0,1988.0,5654.0,0.5,7.0,85.2,63.9,916.1,821.0,3484.0,2.26,101.51,5536.0,13.0,5508.0,980.0,0,0,502.0,397.0,,1.0,1.0,0.0,0.0,0.0,0.0,2540.0,1269.0,2,178.0,1.0,2574.0,1107.5,346.0,1988.0,5654.0,0.5,7.0,85.2,63.9,916.1,821.0,3484.0,2540.0,1,,,162.0,1.0,2802.0,1004.4,746.3,,,,,,,,,,201.0,RECTANGLE,"[0, 3, 2, 0, 2]",True,2350952,1,all_images,True,2345959,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4585.0,14,2,4,Trial: 4,2345298,2,,,exp_images/images/child_throw_frisbee.jpg,IMG_12,,,,,,,free_view,,,50604.0,51104.0,,free_viewing,,4
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,69687.0,439.0,423.0,1344,0.2931,False,,206.0,2.0,,,2.0,928.0,0.0,836.6,344.6,1.0,1344.0,2294.0,0.1429,2.0,216.6,-301.0,921.0,432.3,928.0,1.74,132.12,926.0,1.0,902.0,0.1429,2,1,1.0,,212,1138.0,,,3,,o_frisbee_child_throw_frisbee,1138.0,1.0,1158.0,746.4,275.7,1344.0,2294.0,0.1429,2.0,216.6,-301.0,921.0,432.3,928.0,1.52,155.95,1156.0,2.0,1134.0,620.0,0,0,464.0,414.0,,0.0,0.0,1.0,1.0,1.0,1.0,3884.0,881.0,1,1138.0,1.0,1158.0,746.4,275.7,,,,,,,,,,1344.0,0,,,,,,,,,,,,,,,,,156.0,RECTANGLE,"[0, 3, 2, 0, 2]",True,2350952,1,all_images,True,2345959,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4585.0,14,2,4,Trial: 4,2345298,2,,,exp_images/images/child_throw_frisbee.jpg,IMG_12,,,,,,,free_view,,,50604.0,51104.0,,free_viewing,,4
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,212100.0,433.33,744.0,1216,0.2678,False,,158.0,6.0,3.0,[3],2.0,1974.0,1.0,807.3,209.4,0.0,1216.0,3220.0,0.1875,3.0,256.3,-663.2,1214.2,362.2,1974.0,7.68,160.41,1972.0,5.0,1922.0,0.1875,3,2,1.0,,1058,230.0,,,2,,s_driver_driver_wash_scooter,704.0,1.0,2518.0,747.0,163.2,1216.0,3220.0,0.1875,3.0,256.3,-663.2,1214.2,362.2,1974.0,0.58,106.36,2516.0,7.0,2502.0,551.0,0,0,450.0,424.0,,1.0,1.0,0.0,0.0,0.0,0.0,1216.0,854.0,1,354.0,1.0,2148.0,763.9,199.2,,,,,,,,,,1216.0,1,,,704.0,1.0,2518.0,747.0,163.2,,,,,,,,,,44.0,RECTANGLE,"[3, 2, 3]",True,2360609,1,all_images,True,2355617,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4540.0,16,2,5,Trial: 5,2354772,2,,,exp_images/images/driver_wash_scooter.jpg,IMG_14,,,,,,,free_view,,,60073.0,60761.0,,free_viewing,,5
edf01,interest_area_edf01_2025_04_08_13_47.xls,edf01_2025_04_08_13_47.EDF,RIGHT,Binocular,RECORDING_SESSION,314818.0,455.0,1051.0,3324,0.7322,False,,337.0,1.0,,,1.0,845.0,0.0,945.7,545.2,1.0,943.0,1920.0,0.3125,5.0,83.7,,,,845.0,,,,,,0.8125,13,1,11.0,,158,2757.0,,,3,,o_scooter_driver_wash_scooter,117.0,2.0,5720.0,1156.4,605.4,2381.0,5837.0,0.5,8.0,228.7,115.0,747.0,163.2,3270.0,1.26,-148.62,5718.0,15.0,5696.0,862.0,0,0,530.0,409.0,,0.0,0.0,1.0,1.0,1.0,1.0,4540.0,1260.0,2,168.0,1.0,1212.0,1033.7,397.1,2381.0,5837.0,0.5,8.0,228.7,115.0,747.0,163.2,3270.0,3324.0,0,,,226.0,1.0,1412.0,894.4,391.5,,,,,,,,,,260.0,RECTANGLE,"[3, 2, 3]",True,2360609,1,all_images,True,2355617,edf01_2025_04_08_13_47,Fixations,500.0,Trial Relative,4540.0,16,2,5,Trial: 5,2354772,2,,,exp_images/images/driver_wash_scooter.jpg,IMG_14,,,,,,,free_view,,,60073.0,60761.0,,free_viewing,,5
