participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf01,1,,free_viewing,,o_lamp_girl_light_lamp,4582.0,2000,3,1366.0,1366.0,0.43649061545176776
edf01,1,,free_viewing,,s_girl_girl_lit_lamp,4582.0,2582,3,1030.0,1030.0,0.5635093845482322
edf01,10,,free_viewing,,o_shrub_man_cut_shrub,4575.0,1900,2,1412.0,1412.0,0.41530054644808745
edf01,10,,free_viewing,,s_man_man_cut_shrub,4575.0,2675,3,1132.0,1132.0,0.5846994535519126
edf01,11,,free_viewing,,o_tree_girl_plant_tree,4475.0,2750,2,1390.0,1390.0,0.6145251396648045
edf01,11,,free_viewing,,s_girl_girl_plant_tree,4475.0,1067,3,1102.0,1102.0,0.23843575418994414
edf01,12,,free_viewing,,o_hole_dog_dug_hole,4657.0,1448,2,1452.0,1452.0,0.31092978312218167
edf01,12,,free_viewing,,s_dog_dog_dug_hole,4657.0,1788,2,1052.0,1052.0,0.3839381576121967
edf01,13,,free_viewing,,o_dog_girl_fed_dog,4512.0,1580,2,820.0,820.0,0.350177304964539
edf01,13,,free_viewing,,s_girl_girl_fed_dog,4512.0,1142,2,4024.0,4024.0,0.25310283687943264
edf01,14,,free_viewing,,o_vase_boy_broke_vase,4665.0,3517,2,764.0,764.0,0.7539121114683816
edf01,14,,free_viewing,,s_boy_boy_broke_vase,4665.0,712,1,4118.0,4118.0,0.15262593783494105
edf01,15,,free_viewing,,o_veg_boy_cut_vegetables,4714.0,4446,1,1024.0,1024.0,0.9431480695799745
edf01,15,,free_viewing,,s_boy_boy_cut_vegetables,4714.0,268,1,718.0,718.0,0.056851930420025454
edf01,16,,free_viewing,,o_picture_artiste_drew_picture,4534.0,2750,2,1048.0,1048.0,0.6065284516982796
edf01,16,,free_viewing,,s_artiste_artiste_drew_picture,4534.0,1594,2,3010.0,3010.0,0.35156594618438464
edf01,17,,free_viewing,,o_box_man_pushed_box,4673.0,908,2,1428.0,1428.0,0.19430772523004494
edf01,17,,free_viewing,,s_man_man_pushed_box,4673.0,3765,3,1143.0,1143.0,0.8056922747699551
edf01,18,,free_viewing,,o_bucket_boy_filled_bucket,4559.0,2306,2,764.0,764.0,0.5058126782189076
edf01,18,,free_viewing,,s_boy_boy_filled_bucket,4559.0,2011,3,2804.0,2804.0,0.4411055055933319
edf01,19,Punjabi,sentence_audio,active,o_letter_woman_read_letter,4833.0,1180,1,8184.0,8184.0,0.2441547692944341
edf01,19,Punjabi,sentence_audio,active,s_woman_woman_read_letter,4833.0,3653,2,5530.0,5530.0,0.7558452307055659
edf01,2,,free_viewing,,o_door_boy_opened_door,4705.0,1634,2,840.0,840.0,0.3472901168969182
edf01,2,,free_viewing,,s_boy_boy_opened_door,4705.0,3071,2,1474.0,1474.0,0.6527098831030819
edf01,20,Punjabi,sentence_audio,active,o_bucket_boy_filled_bucket,4726.0,3734,3,6057.0,6057.0,0.7900973338975879
edf01,20,Punjabi,sentence_audio,active,s_boy_boy_filled_bucket,4726.0,992,2,7634.0,7634.0,0.20990266610241218
edf01,21,Punjabi,sentence_audio,active,o_clothes_woman_folded_clothes,4616.0,4438,1,6162.0,6162.0,0.9614384748700173
edf01,21,Punjabi,sentence_audio,active,s_woman_woman_folded_clothes,4616.0,0,0,,,0.0
edf01,22,Punjabi,sentence_audio,passive,o_door_boy_opened_door,4217.0,1955,3,5324.0,5324.0,0.4635997154375148
edf01,22,Punjabi,sentence_audio,passive,s_boy_boy_opened_door,4217.0,2262,2,6010.0,6010.0,0.5364002845624852
edf01,23,Punjabi,sentence_audio,passive,o_lamp_girl_light_lamp,4832.0,2296,2,5780.0,5780.0,0.47516556291390727
edf01,23,Punjabi,sentence_audio,passive,s_girl_girl_lit_lamp,4832.0,2536,1,7956.0,7956.0,0.5248344370860927
edf01,24,Punjabi,sentence_audio,passive,o_scooter_driver_wash_scooter,4452.0,3642,3,5562.0,5562.0,0.8180592991913747
edf01,24,Punjabi,sentence_audio,passive,s_driver_driver_wash_scooter,4452.0,810,2,6684.0,6684.0,0.18194070080862534
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,o_box_man_pushed_box,4658.0,1986,3,6164.0,6164.0,0.42636324602833836
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,s_man_man_pushed_box,4658.0,2672,3,5872.0,5872.0,0.5736367539716617
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,o_tree_girl_plant_tree,4669.0,3248,2,5714.0,5714.0,0.6956521739130435
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,s_girl_girl_plant_tree,4669.0,1057,3,5418.0,5418.0,0.22638680659670166
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,o_shrub_man_cut_shrub,4425.0,2695,4,6364.0,6364.0,0.6090395480225989
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,s_man_man_cut_shrub,4425.0,1066,2,6152.0,6152.0,0.2409039548022599
edf01,28,English,sentence_audio,active,o_hole_dog_dug_hole,4566.0,1270,1,7330.0,7330.0,0.2781427945685502
edf01,28,English,sentence_audio,active,s_dog_dog_dug_hole,4566.0,2728,2,6090.0,6090.0,0.5974594831362242
edf01,29,English,sentence_audio,active,o_frisbee_child_throw_frisbee,4691.0,3696,2,5762.0,5762.0,0.787891707525048
edf01,29,English,sentence_audio,active,s_child_child_throw_frisbee,4691.0,706,1,7088.0,7088.0,0.1505009592837348
edf01,3,,free_viewing,,o_letter_woman_read_letter,4675.0,3432,1,2382.0,2382.0,0.7341176470588235
edf01,3,,free_viewing,,s_woman_woman_read_letter,4675.0,1243,1,1039.0,1039.0,0.26588235294117646
edf01,30,English,sentence_audio,active,o_tabla_child_play_tabla,4578.0,2768,2,5514.0,5514.0,0.6046308431629532
