participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_interest_area_dwell_time,total_interest_area_entry_count,min_time_to_first_fixation,interest_area_dwell_time_normalized
edf01,1,,free_viewing,,4582.0,4582,6,1030.0,1.0
edf01,10,,free_viewing,,4575.0,4575,5,1132.0,1.0
edf01,11,,free_viewing,,4475.0,3817,5,1102.0,0.8529608938547486
edf01,12,,free_viewing,,4657.0,3236,4,1052.0,0.6948679407343784
edf01,13,,free_viewing,,4512.0,2722,4,820.0,0.6032801418439716
edf01,14,,free_viewing,,4665.0,4229,3,764.0,0.9065380493033226
edf01,15,,free_viewing,,4714.0,4714,2,718.0,1.0
edf01,16,,free_viewing,,4534.0,4344,4,1048.0,0.9580943978826643
edf01,17,,free_viewing,,4673.0,4673,5,1143.0,1.0
edf01,18,,free_viewing,,4559.0,4317,5,764.0,0.9469181838122396
edf01,19,Punjabi,sentence_audio,active,4833.0,4833,3,5530.0,1.0
edf01,2,,free_viewing,,4705.0,4705,4,840.0,1.0
edf01,20,Punjabi,sentence_audio,active,4726.0,4726,5,6057.0,1.0
edf01,21,Punjabi,sentence_audio,active,4616.0,4438,1,6162.0,0.9614384748700173
edf01,22,Punjabi,sentence_audio,passive,4217.0,4217,5,5324.0,1.0
edf01,23,Punjabi,sentence_audio,passive,4832.0,4832,3,5780.0,1.0
edf01,24,Punjabi,sentence_audio,passive,4452.0,4452,5,5562.0,1.0
edf01,25,Punjabi,sentence_audio,passive_dropped_agent,4658.0,4658,6,5872.0,1.0
edf01,26,Punjabi,sentence_audio,passive_dropped_agent,4669.0,4305,5,5418.0,0.9220389805097451
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,4425.0,3761,6,6152.0,0.8499435028248588
edf01,28,English,sentence_audio,active,4566.0,3998,3,6090.0,0.8756022777047744
edf01,29,English,sentence_audio,active,4691.0,4402,3,5762.0,0.9383926668087827
edf01,3,,free_viewing,,4675.0,4675,2,1039.0,1.0
edf01,30,English,sentence_audio,active,4578.0,4158,3,5514.0,0.908256880733945
edf01,31,English,sentence_audio,passive,4711.0,4711,3,5203.0,1.0
