participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration,merge_key,n_saccades,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,mean_fixation_duration_object,mean_fixation_duration_other,mean_fixation_duration_subject,n_fixations_object,n_fixations_other,n_fixations_subject,time_to_first_fixation_object,time_to_first_fixation_other,time_to_first_fixation_subject,total_fixation_duration_object,total_fixation_duration_other,total_fixation_duration_subject
P45,P45_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4428,260.47058823529414,17,1056,5998,4942,P45|1|UNDEFINEDnull,,,,,,264.25,306.0,243.14285714285717,8.0,2.0,7.0,284.0,532.0,0.0,2114.0,612.0,1702.0
P45,P45_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,4572,304.8,15,1048,6040,4992,P45|10|UNDEFINEDnull,,,,,,339.25,,265.42857142857144,8.0,,7.0,0.0,,1048.0,2714.0,,1858.0
P45,P45_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4561,304.06666666666666,15,817,5810,4993,P45|11|UNDEFINEDnull,,,,,,265.5,,381.2,10.0,,5.0,0.0,,1189.0,2655.0,,1906.0
P45,P45_12,12,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,4401,220.05,20,780,5773,4993,P45|12|UNDEFINEDnull,,,,,,243.5,201.2,232.0,6.0,10.0,4.0,256.0,0.0,2222.0,1461.0,2012.0,928.0
P45,P45_13,13,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4341,241.16666666666663,18,733,5692,4959,P45|13|UNDEFINEDnull,,,,,,225.8571428571429,,250.9090909090909,7.0,,11.0,0.0,,525.0,1581.0,,2760.0
P45,P45_14,14,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,4388,208.95238095238096,21,691,5683,4992,P45|14|UNDEFINEDnull,,,,,,205.33333333333331,213.5,227.0,15.0,4.0,2.0,0.0,1565.0,1055.0,3080.0,854.0,454.0
P45,P45_15,15,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,4436,246.44444444444449,18,878,5870,4992,P45|15|UNDEFINEDnull,,,,,,325.3333333333333,204.5,240.1818181818182,3.0,4.0,11.0,324.0,0.0,198.0,976.0,818.0,2642.0
P45,P45_16,16,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4370,273.125,16,880,5762,4882,P45|16|UNDEFINEDnull,,,,,,257.5,128.0,384.0,12.0,1.0,3.0,0.0,2554.0,1284.0,3090.0,128.0,1152.0
P45,P45_17,17,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4515,282.1875,16,984,5977,4993,P45|17|UNDEFINEDnull,,,,,,346.0,,200.14285714285717,9.0,,7.0,356.0,,0.0,3114.0,,1401.0
P45,P45_18,18,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4331,216.55,20,1055,6048,4993,P45|18|UNDEFINEDnull,,,,,,232.75,,205.75,8.0,,12.0,783.0,,0.0,1862.0,,2469.0
