participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
P45,P45_1,1,object_to_object,UNDEFINED,UNDEFINED,1.9674999999999998,26.5,4
P45,P45_1,1,object_to_subject,UNDEFINED,UNDEFINED,5.006666666666667,42.666666666666664,3
P45,P45_1,1,subject_to_object,UNDEFINED,UNDEFINED,3.9124999999999996,37.0,4
P45,P45_1,1,subject_to_subject,UNDEFINED,UNDEFINED,1.545,24.0,2
P45,P45_10,10,object_to_object,UNDEFINED,UNDEFINED,1.144,22.0,5
P45,P45_10,10,object_to_subject,UNDEFINED,UNDEFINED,4.0649999999999995,41.0,2
P45,P45_10,10,subject_to_object,UNDEFINED,UNDEFINED,3.625,40.0,2
P45,P45_10,10,subject_to_subject,UNDEFINED,UNDEFINED,2.7800000000000002,29.6,5
P45,P45_11,11,object_to_object,UNDEFINED,UNDEFINED,2.2624999999999997,31.0,8
P45,P45_11,11,object_to_subject,UNDEFINED,UNDEFINED,5.11,44.0,1
P45,P45_11,11,subject_to_object,UNDEFINED,UNDEFINED,4.26,42.0,1
P45,P45_11,11,subject_to_subject,UNDEFINED,UNDEFINED,1.4175,24.5,4
P45,P45_12,12,object_to_object,UNDEFINED,UNDEFINED,2.04,30.5,4
P45,P45_12,12,subject_to_subject,UNDEFINED,UNDEFINED,0.93,20.0,2
P45,P45_13,13,object_to_object,UNDEFINED,UNDEFINED,2.865,33.0,2
P45,P45_13,13,object_to_subject,UNDEFINED,UNDEFINED,3.7750000000000004,34.0,4
P45,P45_13,13,subject_to_object,UNDEFINED,UNDEFINED,4.2275,46.5,4
P45,P45_13,13,subject_to_subject,UNDEFINED,UNDEFINED,3.077142857142857,33.142857142857146,7
P45,P45_14,14,object_to_object,UNDEFINED,UNDEFINED,1.6836363636363636,26.90909090909091,11
P45,P45_14,14,object_to_subject,UNDEFINED,UNDEFINED,3.94,38.0,1
P45,P45_14,14,subject_to_subject,UNDEFINED,UNDEFINED,2.125,28.0,2
P45,P45_15,15,object_to_object,UNDEFINED,UNDEFINED,1.975,29.0,2
P45,P45_15,15,object_to_subject,UNDEFINED,UNDEFINED,3.84,40.0,1
P45,P45_15,15,subject_to_object,UNDEFINED,UNDEFINED,5.29,46.0,1
P45,P45_15,15,subject_to_subject,UNDEFINED,UNDEFINED,2.46375,30.5,8
P45,P45_16,16,object_to_object,UNDEFINED,UNDEFINED,2.501818181818182,42.0,11
P45,P45_16,16,object_to_subject,UNDEFINED,UNDEFINED,4.12,46.0,1
P45,P45_16,16,subject_to_subject,UNDEFINED,UNDEFINED,3.475,36.0,2
P45,P45_17,17,object_to_object,UNDEFINED,UNDEFINED,2.6185714285714283,30.571428571428573,7
P45,P45_17,17,object_to_subject,UNDEFINED,UNDEFINED,5.43,48.0,1
