participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
P45,P45_1,1,object,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,2114,264.25,252.0,8,1340,5798,284
P45,P45_1,1,other,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,612,306.0,306.0,2,1588,3220,532
P45,P45_1,1,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,1702,243.14285714285714,184.0,7,1056,5998,0
P45,P45_10,10,object,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,2714,339.25,204.0,8,1048,6040,0
P45,P45_10,10,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,1858,265.42857142857144,216.0,7,2096,5978,1048
P45,P45_11,11,object,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,2655,265.5,190.0,10,817,5810,0
P45,P45_11,11,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,1906,381.2,214.0,5,2006,4008,1189
P45,P45_12,12,object,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,1461,243.5,229.5,6,1036,5773,256
P45,P45_12,12,other,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,2012,201.2,214.0,10,780,5486,0
P45,P45_12,12,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,928,232.0,229.0,4,3002,4254,2222
P45,P45_13,13,object,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,1581,225.85714285714286,218.0,7,733,5692,0
P45,P45_13,13,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,2760,250.9090909090909,216.0,11,1258,5340,525
P45,P45_14,14,object,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,3080,205.33333333333334,194.0,15,691,5683,0
P45,P45_14,14,other,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,854,213.5,192.0,4,2256,5050,1565
