participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration
P45,P45_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4428,260.47058823529414,17,1056,5998,4942
P45,P45_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,4572,304.8,15,1048,6040,4992
P45,P45_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4561,304.06666666666666,15,817,5810,4993
P45,P45_12,12,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,4401,220.05,20,780,5773,4993
P45,P45_13,13,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4341,241.16666666666666,18,733,5692,4959
P45,P45_14,14,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,4388,208.95238095238096,21,691,5683,4992
P45,P45_15,15,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,4436,246.44444444444446,18,878,5870,4992
P45,P45_16,16,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4370,273.125,16,880,5762,4882
P45,P45_17,17,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4515,282.1875,16,984,5977,4993
P45,P45_18,18,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4331,216.55,20,1055,6048,4993
P45,P45_19,19,exp_images/sentences/Tabla-woa.jpg,PNA,IMG_11,STIM_47,4418,339.84615384615387,13,5245,10237,4992
P45,P45_2,2,UNDEFINEDnull,UNDEFINEDnull,IMG_02,UNDEFINEDnull,4611,419.1818181818182,11,1106,6099,4993
P45,P45_20,20,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,4334,228.10526315789474,19,6036,11028,4992
P45,P45_21,21,exp_images/sentences/Bucket-woa.jpg,PNA,IMG_09,STIM_45,4678,584.75,8,5338,10330,4992
P45,P45_22,22,exp_images/sentences/active_girl_dog.jpg,ACT,IMG_16,STIM_70,4491,345.46153846153845,13,5199,10192,4993
P45,P45_23,23,exp_images/sentences/active_driver_scooter.jpg,ACT,IMG_14,STIM_68,4467,262.7647058823529,17,6045,11038,4993
P45,P45_24,24,exp_images/sentences/active_artist_picture.jpg,ACT,IMG_07,STIM_61,4068,226.0,18,5921,10913,4992
P45,P45_25,25,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,4396,293.06666666666666,15,5868,10852,4984
P45,P45_26,26,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,4255,265.9375,16,5291,10250,4959
P45,P45_27,27,exp_images/sentences/passive_boy_vase.jpg,PWA,IMG_08,STIM_80,4685,390.4166666666667,12,6061,11052,4991
P45,P45_28,28,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,4331,270.6875,16,5730,10723,4993
P45,P45_29,29,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,4371,312.2142857142857,14,5791,10778,4987
P45,P45_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4556,325.42857142857144,14,827,5819,4992
P45,P45_30,30,exp_images/sentences/noagent_girl_window.jpg,PNA,IMG_02,STIM_92,4373,291.53333333333336,15,5187,10178,4991
P45,P45_31,31,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,4687,426.09090909090907,11,5318,10311,4993
P45,P45_32,32,exp_images/sentences/Veg.jpg,ACT,IMG_18,STIM_18,4368,273.0,16,5446,10438,4992
P45,P45_33,33,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,4474,344.15384615384613,13,5976,10968,4992
P45,P45_34,34,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,4252,265.75,16,6120,11112,4992
P45,P45_35,35,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,4437,341.3076923076923,13,5243,10236,4993
P45,P45_36,36,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,4260,193.63636363636363,22,5842,10834,4992
P45,P45_4,4,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,4414,339.53846153846155,13,1074,6066,4992
P45,P45_5,5,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,4446,277.875,16,762,5716,4954
P45,P45_6,6,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4224,201.14285714285714,21,928,5848,4920
P45,P45_7,7,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,4424,276.5,16,945,5937,4992
P45,P45_8,8,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,4430,260.5882352941176,17,1038,6028,4990
P45,P45_9,9,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,4610,384.1666666666667,12,922,5914,4992
edf01,edf01_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,4582,352.46153846153845,13,1030,6020,4990
edf01,edf01_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4511,281.9375,16,699,5690,4991
edf01,edf01_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4575,305.0,15,1132,6125,4993
edf01,edf01_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4492,641.7142857142857,7,970,5962,4992
edf01,edf01_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4475,298.3333333333333,15,1102,6095,4993
