participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_INDEX,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,TRIAL_FIXATION_TOTAL,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,time_from_trial_start,time_window,trial_duration_x,sentence_clean,merge_key,total_trial_duration,trial_duration_y,n_saccades,mean_saccade_amplitude
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,4,Trial: 4,2345298,1138,3,1158,2294,746.4,275.7,o_frisbee_child_throw_frisbee,3.0,2.0,1344.0,2.0,14,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,exp_images/images/child_throw_frisbee.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,object,edf01_4,-2344140,early,5427,UNDEFINEDnull,edf01|4|UNDEFINEDnull,4464,4992,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,4,Trial: 4,2345298,1138,3,1158,2294,746.4,275.7,o_frisbee_child_throw_frisbee,3.0,2.0,1344.0,2.0,14,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,exp_images/images/child_throw_frisbee.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,object,edf01_4,-2344140,early,5427,UNDEFINEDnull,edf01|4|UNDEFINEDnull,4585,4993,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,12,Trial: 12,2422902,1421,12,4624,6045,852.2,823.5,.,,,,,12,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,other,edf01_12,-2418278,early,5127,UNDEFINEDnull,edf01|12|UNDEFINEDnull,4657,4993,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,12,Trial: 12,2422902,1421,12,4624,6045,852.2,823.5,.,,,,,12,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,other,edf01_12,-2418278,early,5127,UNDEFINEDnull,edf01|12|UNDEFINEDnull,4204,4756,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,15,Trial: 15,2451934,1124,4,1592,2714,1047.8,879.4,o_veg_boy_cut_vegetables,2.0,2.0,4446.0,9.0,10,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,object,edf01_15,-2450342,early,4992,UNDEFINEDnull,edf01|15|UNDEFINEDnull,4204,4864,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,15,Trial: 15,2451934,1124,4,1592,2714,1047.8,879.4,o_veg_boy_cut_vegetables,2.0,2.0,4446.0,9.0,10,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,object,edf01_15,-2450342,early,4992,UNDEFINEDnull,edf01|15|UNDEFINEDnull,4714,4992,,
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,19,Trial: 19,2509162,2196,2,5946,8140,972.6,435.3,s_woman_woman_read_letter,3.0,2.0,3653.0,4.0,6,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,exp_images/images/women_read_letter.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_17_P_ACT,PUNJABI,exp_images/audio\PUNJABI\letter.wav,subject,edf01_19,-2503216,early,5648,exp_images/sentences/Letter.jpg,edf01|19|exp_images/sentences/Letter.jpg,4833,4993,5.0,2.8760000000000003
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,21,Trial: 21,2538492,1340,4,6952,8290,956.0,739.8,o_clothes_woman_folded_clothes,2.0,1.0,4438.0,7.0,8,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,exp_images/images/women_fold_clothes.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_06_P_ACT,PUNJABI,exp_images/audio\PUNJABI\clothes.wav,object,edf01_21,-2531540,early,5178,exp_images/sentences/Folded-clothes.jpg,edf01|21|exp_images/sentences/Folded-clothes.jpg,4616,4804,8.0,2.795
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,22,Trial: 22,2553126,1098,8,8114,9210,880.9,427.4,s_boy_boy_opened_door,2.0,1.0,2262.0,5.0,10,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,exp_images/images/boy_opened_door.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_10_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_door.wav,subject,edf01_22,-2545012,early,5079,exp_images/sentences/Closed-door-passive.jpg,edf01|22|exp_images/sentences/Closed-door-passive.jpg,4217,4993,9.0,1.9366666666666663
edf01,fixation_reports_edf01_2025_04_08_13_47.xls,23,Trial: 23,2567314,1434,2,6458,7890,764.3,570.1,o_lamp_girl_light_lamp,2.0,1.0,2296.0,3.0,5,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,exp_images/images/girl_lighted_lamp.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_01_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_lamp.wav,object,edf01_23,-2560856,early,5464,exp_images/sentences/Lamp-passive.jpg,edf01|23|exp_images/sentences/Lamp-passive.jpg,4832,4992,4.0,3.925
