participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_INDEX,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,TRIAL_FIXATION_TOTAL,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,time_from_trial_start,time_window,trial_duration_x,sentence_clean,merge_key,total_trial_duration,trial_duration_y,n_saccades,mean_saccade_amplitude
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,252,8,8220,8470,535.2,-209.5,.,,,,,22,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,edf07_28,-1394060,early,5799,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592,5799,32.0,3.8025
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,268,13,9218,9484,715.2,-6.1,.,,,,,22,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,edf07_28,-1393062,early,5799,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592,5799,32.0,3.8025
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,86,15,9890,9974,771.4,-83.4,.,,,,,22,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,edf07_28,-1392390,early,5799,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592,5799,32.0,3.8025
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,94,19,10370,10462,820.1,-94.9,.,,,,,22,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,edf07_28,-1391910,early,5799,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592,5799,32.0,3.8025
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,95,22,10912,11007,868.7,-65.7,.,,,,,22,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,edf07_28,-1391368,early,5799,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592,5799,32.0,3.8025
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,29,Trial: 29,1417262,192,22,10324,10516,872.9,-73.4,.,,,,,22,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,exp_images/images/child_throw_frisbee.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_12_E_ACT,ENGLISH,exp_images/audio\ENGLISH\frisbee.wav,other,edf07_29,-1406938,early,5356,exp_images/sentences/active_child_frisbee.jpg,edf07|29|exp_images/sentences/active_child_frisbee.jpg,7607,5356,31.0,4.705161290322581
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,32,Trial: 32,1461006,82,1,7232,7312,-429.7,-390.8,.,,,,,10,exp_images/sentences/passive_girl_cake.jpg,PWA,IMG_15,STIM_87,exp_images/images/girl_baked_cake.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_15_E_PWA,ENGLISH,exp_images/audio\ENGLISH\p_cake.wav,other,edf07_32,-1453774,early,5542,exp_images/sentences/passive_girl_cake.jpg,edf07|32|exp_images/sentences/passive_girl_cake.jpg,8103,5542,13.0,5.432307692307693
edf07,fixation_reports_edf07_2025_04_11_17_09.xls,34,Trial: 34,1491044,130,1,6502,6630,506.3,-60.2,.,,,,,10,exp_images/sentences/noagent_girl_dog.jpg,PNA,IMG_16,STIM_106,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_16_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_fed.wav,other,edf07_34,-1484542,early,5224,exp_images/sentences/noagent_girl_dog.jpg,edf07|34|exp_images/sentences/noagent_girl_dog.jpg,8144,5224,16.0,6.007333333333333
edf07,fixation_reports_edf07_2025_04_11_17_21.xls,14,Trial: 14,2022816,344,4,2624,2966,987.1,-62.7,.,,,,,10,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,other,edf07_14,-2020192,early,5184,UNDEFINEDnull,edf07|14|UNDEFINEDnull,4195,4993,,
edf07,fixation_reports_edf07_2025_04_11_17_21.xls,14,Trial: 14,2022816,344,4,2624,2966,987.1,-62.7,.,,,,,10,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,UNDEFINEDnull,free_view,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,other,edf07_14,-2020192,early,5184,UNDEFINEDnull,edf07|14|UNDEFINEDnull,4963,4993,,
