variable,missing_count,missing_pct,critical
trial_duration,2280,53.98,False
total_trial_duration,2280,53.98,False
IA_BOTTOM,708,16.76,False
IA_TOP,708,16.76,False
IA_RIGHT,708,16.76,False
IA_LEFT,708,16.76,False
IA_FIRST_FIXATION_INDEX,129,3.05,False
IA_FIRST_FIXATION_DURATION,129,3.05,False
IA_FIRST_FIXATION_TIME,129,3.05,False
n_saccades,10,0.24,False
stim_id,0,0.0,False
audio,0,0.0,False
aoi_type,0,0.0,False
trial_id,0,0.0,False
sentence_clean,0,0.0,False
merge_key,0,0.0,False
language,0,0.0,False
exp_id,0,0.0,False
session_var,0,0.0,False
stimulus_file,0,0.0,False
image,0,0.0,False
participant_id,0,0.0,True
image_id,0,0.0,False
voice_id,0,0.0,True
sentence,0,0.0,True
data_file,0,0.0,False
TRIAL_FIXATION_COUNT,0,0.0,False
TRIAL_DWELL_TIME,0,0.0,False
IA_AREA,0,0.0,False
IA_FIXATION_COUNT,0,0.0,False
IA_DWELL_TIME,0,0.0,True
IA_LABEL,0,0.0,False
TRIAL_START_TIME,0,0.0,False
TRIAL_LABEL,0,0.0,False
TRIAL_INDEX,0,0.0,True
TRIAL_IA_COUNT,0,0.0,False
