participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,CURRENT_SAC_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_INDEX,CURRENT_SAC_START_TIME,CURRENT_SAC_END_TIME,CURRENT_SAC_DIRECTION,CURRENT_SAC_ANGLE,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_START_INTEREST_AREA_LABEL,CURRENT_SAC_END_INTEREST_AREA_LABEL,CURRENT_SAC_START_INTEREST_AREA_ID,CURRENT_SAC_END_INTEREST_AREA_ID,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type_start,aoi_type_end,saccade_transition,trial_id,time_from_trial_start,sentence_clean,merge_key,total_trial_duration,trial_duration,total_fixations_subject_object
edf01,saccade_edf01_2025_04_08_13_47.xls,35,Trial: 35,2742614,72,15.13,214.01,325.38,4,7162,7232,RIGHT,17.17,976.8,382.0,1777.2,137.0,s_boy_boy_cut_vegetables,.,1.0,,exp_images/sentences/noagent_boy_vegetables.jpg,PNA,IMG_18,STIM_108,exp_images/images/boy_cut_vegetables.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_18_E_PNA,ENGLISH,exp_images/audio\ENGLISH\p_woa_veg.wav,subject,other,other,edf01_35,-2735452,exp_images/sentences/noagent_boy_vegetables.jpg,edf01|35|exp_images/sentences/noagent_boy_vegetables.jpg,4514.0,4970.0,10.0
edf01,saccade_edf01_2025_04_08_14_30.xls,14,Trial: 14,418158,146,15.55,613.81,2456.58,15,5960,6104,RIGHT,-37.85,1022.0,532.4,1712.7,1076.7,s_girl_girl_lit_lamp,.,3.0,,UNDEFINED,UNDEFINED,IMG_01,UNDEFINED,exp_images/images/girl_lighted_lamp.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,other,other,edf01_14,-412198,UNDEFINED,edf01|14|UNDEFINED,,,
edf01,saccade_edf01_2025_04_08_14_30.xls,15,Trial: 15,428032,190,15.28,277.91,816.78,1,622,810,UP,61.65,465.5,1283.9,886.0,495.9,.,s_dog_dog_dug_hole,,2.0,UNDEFINED,UNDEFINED,IMG_13,UNDEFINED,exp_images/images/dog_dug_hole.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,other,subject,other,edf01_15,-427410,UNDEFINED,edf01|15|UNDEFINED,,,
edf01,saccade_edf01_2025_04_08_14_30.xls,34,Trial: 34,696474,206,14.08,414.26,2965.17,7,9038,9242,UP,86.28,1003.3,1378.7,1055.4,557.3,.,.,,,exp_images/sentences/Fed-dog.jpg,ACT,IMG_16,STIM_16,exp_images/images/girl_fed_dog.jpg,stimuli_list_subj_2_a.csv,experiment,IMG_16_P_ACT,PUNJABI,exp_images/audio\PUNJABI\fed.wav,other,other,other,edf01_34,-687436,exp_images/sentences/Fed-dog.jpg,edf01|34|exp_images/sentences/Fed-dog.jpg,4340.0,4766.0,6.0
edf07,saccade_edf07_2025_04_11_17_09.xls,21,Trial: 21,1298888,72,13.88,194.83,364.39,5,7314,7384,DOWN,-103.54,968.1,269.3,783.3,1048.0,s_woman_woman_folded_clothes,.,3.0,,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,exp_images/images/women_fold_clothes.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_06_P_ACT,PUNJABI,exp_images/audio\PUNJABI\clothes.wav,subject,other,other,edf07_21,-1291574,exp_images/sentences/Folded-clothes.jpg,edf07|21|exp_images/sentences/Folded-clothes.jpg,9317.0,5217.0,12.0
edf07,saccade_edf07_2025_04_11_17_09.xls,21,Trial: 21,1298888,100,16.84,172.19,332.28,7,7916,8014,UP,83.44,895.7,1355.6,1006.5,365.4,.,s_woman_woman_folded_clothes,,3.0,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,exp_images/images/women_fold_clothes.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_06_P_ACT,PUNJABI,exp_images/audio\PUNJABI\clothes.wav,other,subject,other,edf07_21,-1290972,exp_images/sentences/Folded-clothes.jpg,edf07|21|exp_images/sentences/Folded-clothes.jpg,9317.0,5217.0,12.0
edf07,saccade_edf07_2025_04_11_17_09.xls,25,Trial: 25,1357706,86,13.76,171.44,346.46,7,10622,10706,UP,52.31,418.7,776.0,894.5,158.5,.,.,,,exp_images/sentences/Pushed-box-woa.jpg,PNA,IMG_05,STIM_41,exp_images/images/man_pushed_box.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_05_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_box.wav,other,other,other,edf07_25,-1347084,exp_images/sentences/Pushed-box-woa.jpg,edf07|25|exp_images/sentences/Pushed-box-woa.jpg,9241.0,5574.0,4.0
edf07,saccade_edf07_2025_04_11_17_09.xls,27,Trial: 27,1387532,430,15.13,167.82,308.07,3,6436,6864,UP,63.88,488.6,809.8,867.9,35.0,.,.,,,exp_images/sentences/Shrub-woa.jpg,PNA,IMG_04,STIM_40,exp_images/images/man_cut_shrub.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_04_P_PNA,PUNJABI,exp_images/audio\PUNJABI\p_woa_shrub.wav,other,other,other,edf07_27,-1381096,exp_images/sentences/Shrub-woa.jpg,edf07|27|exp_images/sentences/Shrub-woa.jpg,8692.0,5363.0,13.0
edf07,saccade_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,298,17.16,322.83,1840.31,7,7146,7442,UP,63.15,449.7,1223.8,894.6,334.2,.,.,,,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,other,other,edf07_28,-1395134,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592.0,5799.0,14.0
edf07,saccade_edf07_2025_04_11_17_09.xls,28,Trial: 28,1402280,90,13.48,161.43,400.48,13,9128,9216,UP,69.49,447.8,760.2,716.0,41.3,.,.,,,exp_images/sentences/active_dog_hole.jpg,ACT,IMG_13,STIM_67,exp_images/images/dog_dug_hole.jpg,stimuli_list_subj_7_a.csv,experiment,IMG_13_E_ACT,ENGLISH,exp_images/audio\ENGLISH\dug.wav,other,other,other,edf07_28,-1393152,exp_images/sentences/active_dog_hole.jpg,edf07|28|exp_images/sentences/active_dog_hole.jpg,7592.0,5799.0,14.0
