image_id,condition,n,x_mean,x_median,x_std,y_mean,y_median,y_std
IMG_01,Free Viewing,54,951.01,959.4,96.18,525.64,532.5,71.84
IMG_01,Voice,49,942.57,953.6,46.52,514.51,527.8,72.42
IMG_02,Free Viewing,53,948.83,953.9,41.9,550.36,537.9,91.96
IMG_02,Voice,49,963.93,957.3,90.84,512.04,515.3,46.49
IMG_03,Free Viewing,54,952.38,956.55,26.29,528.99,533.05,43.41
IMG_03,Voice,49,959.58,952.9,72.82,533.45,532.5,86.33
IMG_04,Free Viewing,54,950.97,954.4,36.37,528.24,532.6,60.38
IMG_04,Voice,49,940.9,951.5,77.88,517.67,526.9,57.71
IMG_05,Free Viewing,53,952.92,957.6,26.67,526.34,541.3,59.87
IMG_05,Voice,49,953.32,958.2,47.17,519.67,526.4,65.42
IMG_06,Free Viewing,54,961.22,956.65,61.95,536.57,534.15,130.7
IMG_06,Voice,49,947.29,960.0,131.13,540.52,532.4,97.96
IMG_07,Free Viewing,52,952.28,956.3,28.38,538.1,537.75,28.25
IMG_07,Voice,49,938.33,954.6,77.04,506.92,526.4,90.63
IMG_08,Free Viewing,54,948.28,954.1,30.87,526.84,532.3,44.4
IMG_08,Voice,49,956.96,956.8,47.19,524.15,526.2,57.02
IMG_09,Free Viewing,54,946.22,951.85,39.92,526.38,535.45,74.17
IMG_09,Voice,49,950.94,953.9,46.14,529.34,536.0,60.76
IMG_10,Free Viewing,54,961.15,955.65,78.57,528.2,537.0,40.52
IMG_10,Voice,49,944.83,959.1,53.19,535.81,536.6,43.95
IMG_11,Free Viewing,53,943.41,950.7,41.73,537.02,533.8,43.16
IMG_11,Voice,49,948.13,957.9,63.92,534.82,537.6,82.62
IMG_12,Free Viewing,53,953.2,956.3,38.77,531.68,530.8,35.16
IMG_12,Voice,49,945.65,955.1,58.49,524.49,525.7,35.95
IMG_13,Free Viewing,54,953.29,957.9,24.23,535.69,534.55,28.85
IMG_13,Voice,49,933.06,949.8,108.63,516.75,531.6,72.21
IMG_14,Free Viewing,54,941.75,956.0,92.6,534.43,533.4,32.0
IMG_14,Voice,49,939.23,952.9,73.23,523.03,528.1,70.04
IMG_15,Free Viewing,54,952.68,954.6,20.41,532.86,532.05,35.29
IMG_15,Voice,49,955.01,952.6,101.14,516.6,523.3,55.86
IMG_16,Free Viewing,54,955.38,957.2,33.68,528.47,534.45,49.99
IMG_16,Voice,49,952.1,957.4,32.29,534.65,537.9,40.48
IMG_17,Free Viewing,54,931.4,952.9,95.53,527.09,531.75,47.05
IMG_17,Voice,49,949.19,949.1,33.64,538.93,540.0,35.21
IMG_18,Free Viewing,54,948.19,953.7,50.85,531.14,529.3,59.8
IMG_18,Voice,49,955.28,956.8,55.73,538.46,539.3,70.51
