participant_id,TRIAL_INDEX,image_id,voice_id,aoi_type,CURRENT_FIX_X,CURRENT_FIX_Y,distance_from_center,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL
P45,19,IMG_11,PNA,object,792.0,609.7,185.8009687811127,5488,304,o_tabla_child_play_tabla
P45,20,IMG_10,PNA,subject,819.0,504.0,122.11506868523638,6792,142,s_boy_boy_opened_door
P45,21,IMG_09,PNA,object,923.5,615.8,118.40042229654416,5564,2470,o_bucket_boy_filled_bucket
P45,22,IMG_16,ACT,object,999.8,744.5,252.73519739047032,5404,124,o_dog_girl_fed_dog
P45,23,IMG_14,ACT,object,959.6,693.1,195.2877876366057,6045,191,o_scooter_driver_wash_scooter
P45,24,IMG_07,ACT,object,1052.6,480.1,113.13938306354679,6154,204,o_picture_artiste_drew_picture
P45,25,IMG_03,PWA,subject,955.9,728.6,230.38233439220122,5868,14,.
P45,26,IMG_12,PWA,subject,1047.0,518.5,107.83339000513709,5532,124,s_child_child_throw_frisbee
P45,27,IMG_08,PWA,subject,794.2,450.1,154.63570092316968,9534,152,s_boy_boy_broke_vase
P45,28,IMG_05,PNA,object,1108.4,457.4,172.4194014605086,5984,228,o_box_man_pushed_box
P45,29,IMG_04,PNA,object,841.7,636.7,170.01320536946537,6050,148,o_shrub_man_cut_shrub
P45,30,IMG_02,PNA,object,1164.3,495.6,223.32151710034566,5422,206,o_window_girl_opened_window
P45,31,IMG_13,ACT,subject,935.3,645.2,146.61084543784617,5500,38,s_dog_dog_dug_hole
P45,32,IMG_18,ACT,object,941.4,718.9,220.20036330578566,5666,128,o_veg_boy_cut_vegetables
P45,33,IMG_15,ACT,object,984.2,623.0,131.59304692877967,6178,794,o_cake_girl_baked_cake
P45,34,IMG_06,PWA,object,956.0,638.1,140.2047074815964,6360,178,o_clothes_woman_folded_clothes
P45,35,IMG_17,PWA,object,1086.8,733.7,276.5549493319547,5464,484,o_letter_woman_read_letter
P45,36,IMG_01,PWA,object,736.6,527.7,206.44699077487178,6130,280,o_lamp_girl_light_lamp
edf01,19,IMG_17,PWA,subject,1030.5,549.1,102.71518875025252,6678,138,s_woman_woman_read_letter
edf01,20,IMG_09,PWA,subject,1002.9,360.6,151.33809830971177,7068,306,s_boy_boy_filled_bucket
edf01,21,IMG_06,ACT,subject,1257.6,330.5,358.50634582947055,5940,178,.
edf01,22,IMG_10,PWA,subject,852.3,430.0,112.19349357248845,6010,194,s_boy_boy_opened_door
edf01,23,IMG_01,PNA,object,802.3,480.9,139.83751284973576,5308,170,o_lamp_girl_light_lamp
edf01,24,IMG_14,PNA,object,1085.7,813.4,346.3728915489779,5788,292,o_scooter_driver_wash_scooter
edf01,25,IMG_05,ACT,subject,949.1,337.4,161.50325074127767,5780,2094,s_man_man_pushed_box
edf01,26,IMG_03,ACT,object,719.8,587.4,238.3214845539529,5552,190,o_tree_girl_plant_tree
edf01,27,IMG_04,ACT,object,785.4,391.1,189.18012580606876,6288,1196,o_shrub_man_cut_shrub
edf01,28,IMG_13,PWA,subject,1011.8,691.7,205.57636050869277,5480,176,.
edf01,29,IMG_12,ACT,object,829.8,336.2,196.90528179812753,5762,476,o_frisbee_child_throw_frisbee
edf01,30,IMG_11,ACT,object,776.7,586.1,186.10010746907156,5514,272,o_tabla_child_play_tabla
